Human_Symbol,Ensembl_Symbol,Ensembl_ID,Cycle
MCM5,mcm5,ENSOKIG00005014560,S.gene
MCM5,mcm5.1,ENSOKIG00005018292,S.gene
PCNA,pcna,ENSOKIG00005011301,S.gene
PCNA,PCNA.1,ENSOKIG00005018627,S.gene
PCNA,PCNA,ENSOKIG00005029428,S.gene
FEN1,FEN1,ENSOKIG00005024494,S.gene
FEN1,FEN1.1,ENSOKIG00005024547,S.gene
FEN1,FEN1.2,ENSOKIG00005024619,S.gene
MCM2,mcm2,ENSOKIG00005004073,S.gene
MCM2,MCM2,ENSOKIG00005017128,S.gene
MCM4,mcm4,ENSOKIG00005012623,S.gene
MCM4,mcm4.1,ENSOKIG00005042602,S.gene
RRM1,rrm1.1,ENSOKIG00005024782,S.gene
RRM1,rrm1,ENSOKIG00005046893,S.gene
UNG,unga,ENSOKIG00005050249,S.gene
GINS2,gins2,ENSOKIG00005005401,S.gene
MCM6,MCM6,ENSOKIG00005040687,S.gene
CDCA7,cdca7a,ENSOKIG00005013961,S.gene
DTL,DTL,ENSOKIG00005026623,S.gene
DTL,dtl,ENSOKIG00005013017,S.gene
PRIM1,prim1,ENSOKIG00005010009,S.gene
UHRF1,uhrf1.1,ENSOKIG00005000817,S.gene
UHRF1,uhrf1,ENSOKIG00005015452,S.gene
MLF1IP,gene:ENSOKIG00005012480,ENSOKIG00005012480,S.gene
HELLS,hells.1,ENSOKIG00005009326,S.gene
HELLS,hells,ENSOKIG00005047721,S.gene
RFC2,rfc2,ENSOKIG00005029854,S.gene
NASP,NASP,ENSOKIG00005038416,S.gene
NASP,nasp,ENSOKIG00005015929,S.gene
RAD51AP1,rad51ap1,ENSOKIG00005006131,S.gene
RAD51AP1,rad51ap1.1,ENSOKIG00005031433,S.gene
GMNN,GMNN,ENSOKIG00005004827,S.gene
GMNN,gmnn,ENSOKIG00005010054,S.gene
WDR76,wdr76,ENSOKIG00005007563,S.gene
SLBP,SLBP,ENSOKIG00005007467,S.gene
SLBP,slbp,ENSOKIG00005019708,S.gene
CCNE2,ccne2,ENSOKIG00005032974,S.gene
CCNE2,ccne2.1,ENSOKIG00005011102,S.gene
UBR7,gene:ENSOKIG00005002397,ENSOKIG00005002397,S.gene
UBR7,ubr7,ENSOKIG00005004167,S.gene
POLD3,gene:ENSOKIG00005049692,ENSOKIG00005049692,S.gene
MSH2,msh2,ENSOKIG00005029611,S.gene
ATAD2,ATAD2.1,ENSOKIG00005045862,S.gene
ATAD2,ATAD2,ENSOKIG00005004525,S.gene
ATAD2,atad2,ENSOKIG00005047340,S.gene
RAD51,rad51,ENSOKIG00005006788,S.gene
