OG0024460	ENSSSAG00000100088.1	XM_035760369.2	ENSOKIG00005045768.1	XM_046368360.1
OG0024461	ENSSSAG00000047574.2	XM_052526010.1	ENSOKIG00005029182.1	XM_046368355.1
OG0024462	ENSSSAG00000121441.1	XM_052510139.1	ENSOKIG00005016782.1	XM_046368350.1
OG0024463	ENSSSAG00000034737.2	XM_052510140.1	ENSOKIG00005016798.1	XM_046290692.1
OG0024464	ENSSSAG00000040739.2	XM_052469089.1	ENSOKIG00005008728.1	XM_046361272.1
OG0024465	ENSSSAG00000041533.2	XM_052511198.1	ENSOKIG00005041207.1	XM_046327617.1
OG0024466	ENSSSAG00000082361.1	XM_052505261.1	ENSOKIG00005000224.1	XM_046312766.1
OG0024467	ENSSSAG00000113179.1	XM_052471749.1	ENSOKIG00005008311.1	XM_046360706.1
OG0024468	ENSSSAG00000045188.2	XM_052469056.1	ENSOKIG00005008647.1	XM_046361270.1
OG0024472	ENSSSAG00000079830.2	XM_035774753.1	ENSOKIG00005022921.1	XM_046301709.1
OG0024473	ENSSSAG00000113749.1	XM_052468107.1	ENSOKIG00005042003.1	XM_046301574.1
OG0024475	ENSSSAG00000041120.2	XM_052486597.1	ENSOKIG00005016103.1	XM_046308239.1
OG0024476	ENSSSAG00000100564.1	XM_052517591.1	ENSOKIG00005005087.1	XM_046357688.1
OG0024477	ENSSSAG00000015561.2	XM_035743604.2	ENSOKIG00005037030.1	XM_046309565.1
OG0024479	ENSSSAG00000093101.1	XM_052477433.1	ENSOKIG00005041370.1	XM_046357667.1
OG0024481	ENSSSAG00000008139.2	XM_035743648.2	ENSOKIG00005026937.1	XM_046308796.1
OG0024483	ENSSSAG00000056253.2	XM_052520066.1	ENSOKIG00005008846.1	XM_046316257.1
OG0024484	ENSSSAG00000046120.2	XM_035780752.1	ENSOKIG00005014869.1	XM_046313280.1
OG0024485	ENSSSAG00000046137.2	XM_035788378.2	ENSOKIG00005014854.1	XM_046315961.1
OG0024486	ENSSSAG00000027888.2	XM_035789218.2	ENSOKIG00005025269.1	XM_046325853.1
