"","V1","V2","V3","V4"
"1","gene:ENSOKIG00005000082","gene:ENSOKIG00005000082","Gene","Expression"
"2","gene:ENSOKIG00005000092","gene:ENSOKIG00005000092","Gene","Expression"
"3","gene:ENSOKIG00005000104","gene:ENSOKIG00005000104","Gene","Expression"
"4","gene:ENSOKIG00005000120","cstf1","Gene","Expression"
"5","gene:ENSOKIG00005000131","gene:ENSOKIG00005000131","Gene","Expression"
"6","gene:ENSOKIG00005000186","phf2","Gene","Expression"
"7","gene:ENSOKIG00005000224","barx1","Gene","Expression"
"8","gene:ENSOKIG00005000286","acad9","Gene","Expression"
"9","gene:ENSOKIG00005000370","gene:ENSOKIG00005000370","Gene","Expression"
"10","gene:ENSOKIG00005000381","nuf2","Gene","Expression"
"11","gene:ENSOKIG00005000403","gene:ENSOKIG00005000403","Gene","Expression"
"12","gene:ENSOKIG00005000418","isy1","Gene","Expression"
"13","gene:ENSOKIG00005000432","mkrn2","Gene","Expression"
"14","gene:ENSOKIG00005000445","gene:ENSOKIG00005000445","Gene","Expression"
"15","gene:ENSOKIG00005000511","SYN2","Gene","Expression"
"16","gene:ENSOKIG00005000693","TIMP4","Gene","Expression"
"17","gene:ENSOKIG00005000697","5_8S_rRNA","Gene","Expression"
"18","gene:ENSOKIG00005000701","HRH1","Gene","Expression"
"19","gene:ENSOKIG00005000721","SLC6A1","Gene","Expression"
"20","gene:ENSOKIG00005000824","gene:ENSOKIG00005000824","Gene","Expression"
"21","gene:ENSOKIG00005000924","gene:ENSOKIG00005000924","Gene","Expression"
"22","gene:ENSOKIG00005000930","gene:ENSOKIG00005000930","Gene","Expression"
"23","gene:ENSOKIG00005000931","gene:ENSOKIG00005000931","Gene","Expression"
"24","gene:ENSOKIG00005000935","gene:ENSOKIG00005000935","Gene","Expression"
"25","gene:ENSOKIG00005000938","DUSP7","Gene","Expression"
"26","gene:ENSOKIG00005000942","alas1","Gene","Expression"
"27","gene:ENSOKIG00005000951","gene:ENSOKIG00005000951","Gene","Expression"
"28","gene:ENSOKIG00005000953","gene:ENSOKIG00005000953","Gene","Expression"
"29","gene:ENSOKIG00005000957","ippk","Gene","Expression"
"30","gene:ENSOKIG00005000970","ECM2","Gene","Expression"
"31","gene:ENSOKIG00005000984","OGN","Gene","Expression"
"32","gene:ENSOKIG00005001022","stab1","Gene","Expression"
"33","gene:ENSOKIG00005001069","si:dkeyp-87e7.4","Gene","Expression"
"34","gene:ENSOKIG00005001073","kctd6a","Gene","Expression"
"35","gene:ENSOKIG00005001100","pdhb","Gene","Expression"
"36","gene:ENSOKIG00005001155","si:ch211-193l2.10","Gene","Expression"
"37","gene:ENSOKIG00005001161","gene:ENSOKIG00005001161","Gene","Expression"
"38","gene:ENSOKIG00005001181","SLMAP","Gene","Expression"
"39","gene:ENSOKIG00005001222","gene:ENSOKIG00005001222","Gene","Expression"
"40","gene:ENSOKIG00005001225","gene:ENSOKIG00005001225","Gene","Expression"
"41","gene:ENSOKIG00005001227","gene:ENSOKIG00005001227","Gene","Expression"
"42","gene:ENSOKIG00005001233","acot8","Gene","Expression"
"43","gene:ENSOKIG00005001243","gene:ENSOKIG00005001243","Gene","Expression"
"44","gene:ENSOKIG00005001248","gene:ENSOKIG00005001248","Gene","Expression"
"45","gene:ENSOKIG00005001258","VGLL4","Gene","Expression"
"46","gene:ENSOKIG00005001273","gene:ENSOKIG00005001273","Gene","Expression"
"47","gene:ENSOKIG00005001276","gene:ENSOKIG00005001276","Gene","Expression"
"48","gene:ENSOKIG00005001281","gene:ENSOKIG00005001281","Gene","Expression"
"49","gene:ENSOKIG00005001282","gene:ENSOKIG00005001282","Gene","Expression"
"50","gene:ENSOKIG00005001283","gene:ENSOKIG00005001283","Gene","Expression"
"51","gene:ENSOKIG00005001293","ip6k1","Gene","Expression"
"52","gene:ENSOKIG00005001305","gene:ENSOKIG00005001305","Gene","Expression"
"53","gene:ENSOKIG00005001311","AMIGO3","Gene","Expression"
"54","gene:ENSOKIG00005001313","gene:ENSOKIG00005001313","Gene","Expression"
"55","gene:ENSOKIG00005001318","gene:ENSOKIG00005001318","Gene","Expression"
"56","gene:ENSOKIG00005001350","GRM7","Gene","Expression"
