Human_Symbol,Ensembl_Symbol,Ensembl_ID,Cycle
MCM5,mcm5,ENSSSAG00000040979,S.gene
MCM5,mcm5.1,ENSSSAG00000005359,S.gene
PCNA,pcna,ENSSSAG00000009453,S.gene
TYMS,tyms,ENSSSAG00000073844,S.gene
TYMS,TYMS,ENSSSAG00000070708,S.gene
MCM2,mcm2,ENSSSAG00000042717,S.gene
MCM4,mcm4,ENSSSAG00000081704,S.gene
MCM4,mcm4.1,ENSSSAG00000070777,S.gene
GINS2,psf2,ENSSSAG00000117735,S.gene
CDCA7,cdca7a,ENSSSAG00000071616,S.gene
DTL,DTL,ENSSSAG00000074405,S.gene
DTL,DTL.1,ENSSSAG00000058407,S.gene
UHRF1,uhrf1,ENSSSAG00000072643,S.gene
UHRF1,uhrf1.1,ENSSSAG00000046494 ,S.gene
RFC2,rfc2,ENSSSAG00000066661,S.gene
NASP,nasp,ENSSSAG00000049742,S.gene
RAD51AP1,rad51ap1,ENSSSAG00000046281,S.gene
RAD51AP1,rad51ap1.1,ENSSSAG00000002591,S.gene
GMNN,gene:ENSSSAG00000052775,ENSSSAG00000052775,S.gene
WDR76,gene:ENSSSAG00000052378,ENSSSAG00000052378,S.gene
SLBP,slbp,ENSSSAG00000063884,S.gene
CCNE2,ccne2,ENSSSAG00000059043,S.gene
CCNE2,ccne2.1,ENSSSAG00000057367,S.gene
UBR7,ubr7,ENSSSAG00000040956,S.gene
POLD3,gene:ENSSSAG00000005314,ENSSSAG00000005314,S.gene
MSH2,msh2,ENSSSAG00000074238,S.gene
ATAD2,ATAD2,ENSSSAG00000059621,S.gene
ATAD2,ATAD2.1,ENSSSAG00000003726,S.gene
RAD51,rad51,ENSSSAG00000045336,S.gene
RRM2,RRM2,ENSSSAG00000083858,S.gene
CDC45,cdc45,ENSSSAG00000047205,S.gene
CDC45,cdc45.1,ENSSSAG00000047454 ,S.gene
CDC6,cdc6,ENSSSAG00000041769,S.gene
EXO1,exo1,ENSSSAG00000103371,S.gene
TIPIN,tipin,ENSSSAG00000082602,S.gene
TIPIN,tipin.1,ENSSSAG00000043439,S.gene
